1,Energy Plant,
3,Service Building,
4,Ritchie Coliseum,RIT
6,Building 006,
7,Pocomoke Building,
8,Annapolis Hall,
9,Memorial Chapel,
10,Patuxent Building,
11,The Hall,
14,Harford Hall,HRF
15,Calvert Hall,CAL
16,Baltimore Hall,BAL
17,Cecil Hall,CEC
19,Satellite Central Utilities Building (Scub 1),
20,Motorcycle Storage Building,
21,Prince Georges Hall,PGG
22,Kent Hall,KNT
23,Washington Hall,WSH
24,Allegany Hall,AGY
25,Charles Hall,CHL
26,South Campus Dining Hall,SDH
28,Howard Hall,HOW
29,Frederick Hall,FRD
30,Talbot Hall,TAL
31,Garrett Hall,GRT
32,Montgomery Hall,MNT
34,Jimenez Hall,JMZ
35,Mckeldin Library,MCK
36,Plant Sciences Building,PLS
37,Shoemaker Building,SHM
38,Lefrak Hall,LEF
39,Van Munching Hall,VMH
40,Morrill Hall,MOR
42,Tydings Hall,TYD
43,Taliaferro Hall,TLF
44,Skinner Building,SKN
45,Instructional Television Facility,ITV
46,Marie Mount Hall,MMH
47,Woods Hall,WDS
48,Francis Scott Key Hall,KEY
51,Worcester Hall,WOR
52,Clarence M. Mitchell Jr. Building,
54,Preinkert Hall,PKT
56,Hvac &Amp; Pm Storage Building,
57,Animal Care Storage Facility,
59,Chincoteague Hall,
60,Anne Arundel Hall,ANA
61,Queen Annes Hall,QAN
62,St. Marys Hall,STM
63,Somerset Hall,SOM
64,Dorchester Hall,DOR
65,Carroll Hall,CRL
67,Satellite Central Utilities Building (Scub 2),
68,Eppley Recreation Center,CRC
69,Wicomico Hall,WIC
70,Caroline Hall,CAR
71,Lee Building,
73,H.J. Patterson Hall,HJP
76,Symons Hall,SYM
77,Thomas V. Miller Jr. Administration Building,
78,Reckord Armory,ARM
79,Turner Hall,TUR
80,Rossborough Inn,
81,Wind Tunnel Building,WTU
82,John S. Toll Physics Building,PHY
83,J.M. Patterson Building,JMP
84,William E. Kirwan Hall,MTH
85,Institute For Physical Science &Amp; Tech,IPT
87,Central Animal Resources Facility,
88,Martin Hall,EGR
