"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"Total Area","12985.94"
"Total Rooms","177"
"429","A. JAMES CLARK HALL","1103","63.73","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0137","69.38","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0416","49.04","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0420","98.83","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1404","72.92","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1416","63.4","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1418","62.64","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","2403","35.39","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","2405","36.02","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"060","ANNE ARUNDEL HALL","1108","30.54","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"060","ANNE ARUNDEL HALL","1110","38.29","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"156","ARBORETUM OUTREACH CENTER","1103","45.1","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","1152","19.31","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2256","72","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2256A","57.26","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","3356","72","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"221","ASTRONOMICAL OBSERVATORY","1102","28","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1124","66.25","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2120","55.42","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2124","66.63","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3120","49.27","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3124","77.75","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4124","65.35","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","B0219","108.01","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1100","50.58","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1102","48.97","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"099","BEL AIR HALL","1108A","23","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"099","BEL AIR HALL","1110A","23","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"432","BRENDAN IRIBE CENTER","0109","65.81","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","0314","60.56","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","6252","87.83","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"015","CALVERT HALL","0222","35","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
