"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"Total Area","1830.39"
"Total Rooms","24"
"429","A. JAMES CLARK HALL","1232","88.1","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","4108","82.88","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","2108","118.31","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","2108A","45.89","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2606","202.5","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","0116","108.49","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"417","KNIGHT HALL","1104","44.76","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"035","MCKELDIN LIBRARY","1127A","57.75","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"004","RITCHIE COLISEUM","1106","58.44","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"255","SCHOOL OF PUBLIC HEALTH BUILDI","2117","66.39","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"163","STAMP STUDENT UNION","0120","193.91","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"141","TAWES HALL","0302","89.17","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"141","TAWES HALL","0324","72.83","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"361","TYSER TOWER","2143","45.17","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","2145","49.49","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3143","45.17","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3145","49.49","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4143","45.17","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4145","49.49","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"164","UNIVERSITY HOUSE","1133","48.96","030M FAMILY RSTRM","GENU-STATE APPROPRIATIONS"
"360","XFINITY CENTER","0411","61.11","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2109","72.22","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2421","66.27","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3212","68.43","030M FAMILY RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
