"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"Total Area","116427.852"
"Total Rooms","581"
"800","4-H HEADQUARTERS","1204","165.75","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","1226","252.22","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","2228","238.96","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","3103","189.34","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","4103","189.34","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","5103","189.34","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6105","35.48","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6105A","113.93","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6105B","154.1","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6105C","64.24","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6105D","51.68","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1108","146.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1236","134.29","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1308","176.62","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1406","152.99","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2112","146.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2238","134.29","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2308","170.46","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2424","173.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3114","146.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3240","143.46","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3308","170.21","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3434","166.76","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
