"800","4-H Headquarters"
"815","7401 Baltimore Ave"
"429","A. James Clark Hall"
"115","A.V. Williams Building"
"970","Acad"
"803","Adelphi Road Office Annex"
"397","Agricultural Chemical Storage Building (Pt Branch)"
"102","Agriculture Shed"
"9912","Allegany County Extension Building"
"024","Allegany Hall"
"057","Animal Care Storage Facility"
"103","Animal Science Service Building"
"142","Animal Sciences/Agric. Engrg Bldg"
"008","Annapolis Hall"
"9908","Anne Arundel County Extension Building"
"060","Anne Arundel Hall"
"399","Aquatic Center"
"156","Arboretum Outreach Center"
"145","Architecture Building"
"749","Art Houghton Jr. Office Lab"
"813","Artemesia Building"
"221","Astronomical Observatory"
"219","Astronomy Lecture Building"
"224","Atlantic Building"
"795","Avrum Gudelsky Veterinary Center"
"9906","Baltimore County Extension Building"
"016","Baltimore Hall"
"378","Basketball Performance Center"
"099","Bel Air Hall"
"674","Beltsville Ag Chemical Storage"
"675","Beltsville Equip Maintenance"
"676","Beltsville Equipment Storage"
"678","Beltsville Grain Handling"
"681","Beltsville Large Equipment Storage"
"672","Beltsville Office Trailer"
"679","Beltsville Plot Equipment Storage"
"673","Beltsville Rvr"
"677","Beltsville Seed &Amp; Fertilizer"
"680","Beltsville Small Equipment Storage"
"143","Benjamin Building"
"144","Biology-Psychology Building"
"296","Biomolecular Sciences Building"
"413","Bioscience Research Building"
"169","Boat House"
"159","Bob 'Turtle' Smith Stadium At Shipley Field"
"432","Brendan Iribe Center"
"006","Building 006"
"011","Building 011"
"089","C. Daniel Mote Jr. Engineering Laboratory"
"9903","Calvert County Extension Building"
"015","Calvert Hall"
"097","Cambridge Community Center"
"096","Cambridge Hall"
"9918","Caroline County Extension Building"
"070","Caroline Hall"
"9910","Carroll County Extension Building"
"065","Carroll Hall"
"110","Cattle Barn"
"9924","Cecil County Extension Building"
"017","Cecil Hall"
"381","Center For Young Children"
"087","Central Animal Resources Facility"
"667","Central Md Office"
"668","Central Md Office Annex"
"098","Centreville Hall"
"9901","Charles County Extension Building"
"025","Charles Hall"
"090","Chemical &Amp; Nuclear Engineering Building"
"091","Chemistry Building"
"338","Chesapeake Building"
"121","Chestertown Hall"
"059","Chincoteague Hall"
"052","Clarence M. Mitchell Jr. Building"
"386","Clarice Smith Performing Arts Center"
"627","Clarksville Commodity Storage"
"665","Clarksville Cottage 9"
"632","Clarksville Dairy Research Barn"
"663","Clarksville Equine Office &Amp; Barn"
"621","Clarksville Equip Maintenance"
"622","Clarksville Equipment Storage"
"628","Clarksville Feed Handling"
"630","Clarksville Freestall Barn"
"626","Clarksville Hay &Amp; Bedding Storage"
"633","Clarksville Hay Barn"
"623","Clarksville Heifer Barn 1"
"624","Clarksville Heifer Barn 2"
"625","Clarksville Heifer Barn 3"
"629","Clarksville Milking Center"
"660","Clarksville Office"
"669","Clarksville Pump House 4"
"657","Clarksville Pump House 5"
"670","Clarksville Pump House 6"
"647","Clarksville Spring House"
"631","Clarksville Tiestall Barn"
"658","Clarksville Water Tank"
"656","Clarksville Youngstock Shed"
"671","Cmrec Headquarters"
"162","Cole Student Activities Building"
"802","College Park Fire Station"
"345","College Park Marriott Hotel &Amp; Conference Center"
"348","College Park Marriott Hotel And Conference Center"
"406","Computer Science Instructional Center"
"987","Courtyard 100"
"988","Courtyard 200"
"989","Courtyard 300"
"990","Courtyard 400"
"991","Courtyard 500"
"992","Courtyard 600"
"993","Courtyard 700"
"994","Courtyard Clubhouse"
"995","Courtyard Maintenance Shed"
"886","Crane Aquaculture Building"
"888","Crane Aquaculture Support Building"
"422","Cspac Grounds Storage Facility"
"122","Cumberland Hall"
"814","Cypress Building"
"251","Denton Area Dining Hall"
"252","Denton Hall"
"9915","Dorchester County Extension Building"
"064","Dorchester Hall"
"228","E. A. Fernandez Idea Factory"
"253","Easton Hall"
"226","Edward St. John Learning And Teaching Center"
"311","Elkins"
"254","Elkton Hall"
"257","Ellicott Area Dining Hall"
"256","Ellicott Hall"
"001","Energy Plant"
"223","Energy Research Facility"
"093","Engineering Annex"
"344","Environmental Service Facility"
"068","Eppley Recreation Center"
"396","Equipment Storage Building (Paint Branch)"
"414","Field Hockey And Lacrosse Complex"
"427","Fleet Services Building"
"048","Francis Scott Key Hall"
"9919","Frederick County Extension Building"
"029","Frederick Hall"
"9913","Garrett County Extension Building"
"031","Garrett Hall"
"299","Gate House"
"237","Geology Building"
"312","Golf Course Chemical Storage Bldg"
"166","Golf Course Club House"
"165","Golf Course Driv. Range Cont. Bldg."
"320","Golf Course Fertilizer Shed"
"167","Golf Course Maintenance Office"
"314","Golf Course Repair Shop"
"319","Golf Course Storage Building"
"313","Golf Course Storage Building 1"
"318","Golf Course Toilet Facility"
